candle_24h,nb,V,V_EUR,Pmin,PQ1,Pmed,PQ3,Pmax,P_open,P_close,return
16562,2405,3962.60950815001,0.0,201.61,204.37,206.8,210.6,213.90475,203.0,209.91,0.03403940886699506
16563,2175,3105.6150368000026,0.0,209.6,211.59,212.95,216.03,218.0,210.29998,214.01,0.017641561354404384
16564,1419,909.9609851899967,0.0,210.99999,212.9,213.49999,214.15,217.36,214.01,213.55736,-0.0021150413532076725
16565,1348,987.074101529996,0.0,211.37032,212.8099,213.4,214.5,216.6937,213.55738,212.91127000000003,-0.0030254632267916227
16566,2024,2612.180869430005,0.0,212.0,213.38044,214.4998,215.5987475,217.39374,213.09996,215.0,0.00891619125597203
16567,2146,1890.2206756099888,0.0,213.12104,214.24999,214.56,214.99999,215.72998,214.99999,214.08613,-0.004250511825605332
16568,2439,2493.035277019985,0.0,207.0015,212.931115,213.8897,215.0,216.0,214.49999,207.75227,-0.0314579035644711
16569,2475,2157.936472869996,0.0,204.89,207.287995,207.87465,208.35,209.6445,207.69453,208.1522,0.0022035727180681115
16570,2655,2301.7961589500133,0.0,206.48,207.85048500000002,208.37,208.99,209.9999,208.15219,208.28,0.0006140218846605017
16571,1680,1418.5547332600008,0.0,204.82368,206.197975,207.23087,207.69693,208.8899,208.11251,206.15998,-0.009382088563537078
16572,1557,1578.709372959996,0.0,204.1209,205.95382,206.5,206.74625,207.93,206.06999,205.1,-0.0047070900522681435
16573,2446,2611.4589047400127,0.0,202.55213,205.4016175,206.38,206.9000075,207.99,204.85637,203.0,-0.00906181242985023
16574,2728,2318.982883460003,0.0,202.797,205.1901475,206.156995,206.9488225,208.0,203.01001,205.74138,0.013454361191351941
16575,2810,2084.92378834,0.0,204.2,207.20664,208.0,208.9,209.69411,205.03357,207.25,0.010810083441457915
16576,3141,2213.5663155099924,0.0,203.699,208.4645,209.08356,209.72363,211.0,206.86618,209.72468,0.013818111786082984
16577,3411,2732.9032530600257,0.0,208.0,209.6223,210.59543,212.89,215.0,208.96128,211.9,0.01406346668626833
16578,2144,1488.7110767299966,0.0,208.31099999999998,212.01,213.15652000000003,213.7811625,214.89,212.01001,210.55617,-0.006857412062760686
16579,1919,829.7445705800004,0.0,208.05001,211.104,212.1,212.97971,213.9444,209.44912,212.6718,0.01538645757976924
16580,2420,1160.275964299997,0.0,208.2228,211.15182000000001,211.8,212.49989,214.5,212.9726,211.9,-0.005036328616920647
16581,2861,2053.9475308399924,0.0,210.56001,212.35576,213.5,214.29,214.9,211.49986,213.8,0.010875373629088922
16582,2812,1896.7500984199976,0.0,212.0,213.75099999999998,214.3165,214.799,215.5,213.8,213.25,-0.002572497661365816
16583,2368,1927.930282849996,0.0,212.13,214.1,215.0,215.47,215.94859,212.97566,215.31893,0.011002524889463846
16584,2889,2677.510790309998,0.0,212.8,214.14527,214.98895,215.5,216.5183,215.3238,214.38514,-0.004359295163841746
16585,1992,1397.2286269299966,0.0,210.38,211.3,211.8,212.48,214.75,214.48994,212.05508,-0.011351861070966848
16586,1827,1529.4619066599967,0.0,207.37599999999998,209.81701,210.78167,211.69377000000003,212.5,211.95466,207.986,-0.01872409882377688
16587,3937,3961.336959900001,0.0,202.5,205.01813,207.03881,208.3792,211.55,208.38389,204.0,-0.02103756677159631
16588,2519,3134.7020856399968,0.0,202.5,203.98709,204.37496,204.93201000000002,209.2,203.93,204.21172,0.0013814544206344267
16589,2950,3746.3055924499968,0.0,197.23022,202.145725,203.39592,204.2,205.4999,204.21172,201.11315,-0.015173321100277668
16590,2813,2676.0669581399757,0.0,197.12,199.48,199.989,200.5,202.29,200.63737,198.39,-0.011201153603638334
16591,2796,3243.424657699993,0.0,196.79702,198.6128575,200.28923500000002,201.77700000000002,203.78687,198.15,201.02,0.014483976785263709
16592,1130,810.0071662000012,0.0,199.62974,201.0,201.3,201.68143999999998,202.18,201.14912,202.0,0.004230095562933698
16593,1008,686.3210180000005,0.0,199.6,200.5,201.09541,201.99633,202.89171,202.0,200.96,-0.00514851485148511
16594,2579,3518.264693139994,0.0,200.0,201.05,201.77827,202.45798,203.61131,200.70252,201.09,0.0019306185094238515
16595,2340,2940.8885675300044,0.0,200.0,202.34417,203.06463,203.555,204.55,201.05,201.62452,0.002857597612534088
16596,1858,2032.0278924900006,0.0,200.5,201.37099999999998,201.83558,202.1,202.8326,201.6,201.7,0.0004960317460317178
16597,1925,3472.641484480015,0.0,193.92,201.78,202.48228,203.6,204.51,201.7,202.7,0.00495785820525533
16598,1313,1774.6197326199888,0.0,202.03,202.99998,203.35832,203.75,204.46900000000002,202.57603,202.67998,0.0005131406711840368
16599,1105,1401.0135555599975,0.0,200.9,202.86,203.19989,203.29,204.0,202.50103,203.498,0.004923283600088237
16600,1421,1212.1213117599914,0.0,202.3021,203.99900000000002,204.2,204.69,205.4,203.498,205.25,0.008609421222813048
16601,1916,2919.262620890002,0.0,204.0002,206.0,207.65,208.1,209.28,205.25,207.91,0.01295980511571253
16602,4010,6000.605952830066,0.0,207.48,211.77495,213.96,216.28456,221.56,207.95,216.47,0.040971387352729066
16603,3599,4552.780734520003,0.0,212.58,218.0,219.59,221.09,224.24999,215.6282,216.97,0.006222748230519043
16604,2560,3890.561414030003,0.0,213.0,216.6,217.81,218.72146,220.74597000000003,216.9269,217.0,0.00033697987663130216
16605,1984,3145.834101630009,0.0,214.0,216.10075750000001,217.0899,218.0,219.58748,217.0,214.80681,-0.010106866359446944
16606,1531,2027.9727829299975,0.0,210.0,211.9703,212.989,213.78,215.02998,214.4934,213.48141,-0.004718047268587273
16607,1389,1422.98557901001,0.0,210.92,212.1,213.0,213.86325,215.01845,213.75001,213.2411,-0.002380865385690576
16608,4298,3043.158749779993,0.0,212.5,213.69,215.025005,215.75,217.31,213.2,216.25,0.014305816135084484
16609,1839,2958.6346382299953,0.0,215.52,216.66,217.0,217.46,218.21587,216.25,216.69602000000003,0.002062520231214024
16610,2004,2284.0014078199924,0.0,214.10122,215.32,215.849995,216.44999249999998,217.15,217.0,214.10122,-0.013358433179723449
16611,1590,2212.1174103900007,0.0,214.04909,215.2269925,215.7294,215.99900000000002,216.5,214.1,215.78054,0.007849322746380233
16612,1252,1717.2628260600013,0.0,214.64,215.4498,215.58,215.84,217.5,215.45,217.5,0.009514968670225164
16613,1936,3008.745492790001,0.0,215.62261,218.04776500000003,219.99999,221.8,225.0,217.49999,223.58900000000003,0.027995449563009315
16614,2232,2893.0279620999995,0.0,221.20001000000002,222.5,223.25,224.4424,226.0,224.238,225.45998,0.005449477786994058
16615,3067,4043.772048379999,0.0,224.0,226.005535,227.48,228.8,229.74421,224.36022000000003,228.90848,0.02027213202055133
16616,4370,6604.393611580016,0.0,228.0,235.0,236.115,237.0,240.0,228.79,235.99833,0.031506315835482274
16617,3259,4504.637075750011,0.0,229.0,231.24075,233.0,234.14135499999998,237.49900000000002,236.16298,233.75678,-0.010188726446456528
16618,2195,3451.2206020199956,0.0,228.73,230.15,231.25,232.5533,236.2,233.78678,229.5837,-0.01797826207281695
16619,1866,3012.630382600005,0.0,227.52442,229.152495,230.12265499999998,230.7,231.64078,229.99,231.0,0.004391495282403543
16620,1568,1999.5890999199985,0.0,229.13,230.89,231.86605,232.5,235.1,231.0,234.41211,0.014771038961039016
16621,3641,6203.197947990018,0.0,232.36126,235.92,240.0,244.9409,247.6344,234.44256,246.02,0.049382842432705035
16622,4289,6542.780604810033,0.0,242.609,245.9811,247.5402,249.37152000000003,252.0,246.011,243.58227,-0.009872444728081155
16623,2803,3540.220844869983,0.0,240.62,242.62997,243.44,244.67996000000002,247.5,243.82558,241.7801,-0.008389111593623481
16624,3226,4162.163769980003,0.0,240.42165,243.26,244.64,245.78,248.93823,242.7056,244.69,0.008176160747836036
16625,3004,3794.157562290002,0.0,241.61,244.83261,245.289745,246.06,247.0,245.34,244.1303,-0.00493070840466291
16626,6556,10396.816481710053,0.0,243.0,254.1893525,257.1,258.92140750000004,265.0,244.1303,256.41,0.05029977843798995
16627,2741,4029.6013273800013,0.0,254.72893,260.5,262.3,263.7,266.95,256.38,262.58924,0.02421889382947196
16628,4015,5682.614837250021,0.0,261.309,269.52941,275.0,277.095,281.21811,262.5693,278.5,0.06067236344843058
16629,5277,7864.022974800028,0.0,250.7,256.71,260.6429,263.0,279.5,278.5,265.59752000000003,-0.046328473967683914
16630,2966,3014.5533098400106,0.0,258.43,261.5,262.7669,264.3716575,267.55555,264.93775,260.5,-0.016750161122754285
16631,2288,3018.8621034300068,0.0,258.2,263.0,264.0,264.89446,265.90778,261.22,259.98439,-0.004730150830717435
16632,3383,5157.141358630013,0.0,251.25,253.72886,256.03,260.473695,265.85,260.23998,253.72886,-0.02501967606975686
16633,2153,3059.539393710005,0.0,248.38,251.89,253.47,255.6,257.777,254.84652000000003,256.40027000000003,0.0060968068153334325
16634,1642,1809.1920651100006,0.0,253.49652000000003,254.85,255.9292,257.13767,259.74,257.0,254.01,-0.011634241245136222
16635,1206,1667.9077527099955,0.0,250.84,252.9,253.4,254.0098,255.44526,254.79,251.4114,-0.013260332038149088
16636,1625,2233.1971115899914,0.0,250.28,252.99,254.0,254.38,255.1,251.4013,255.1,0.014712334423091698
16637,2152,2693.07527985,0.0,251.16,254.23,254.87,255.99,258.36585,255.19658,251.16,-0.015817531723975247
16638,1969,2725.076497089997,0.0,250.5,252.1201,252.89882000000003,253.55,254.68627,251.78,253.55658,0.007056080705377579
16639,1397,2072.4944138199976,0.0,250.61,251.2,251.6701,252.18518,253.5667,252.5,251.2,-0.005148514851485194
16640,2811,4421.800200050012,0.0,250.38,257.0,258.5499,259.5,261.0,251.11,260.745,0.03836963880371149
16641,1750,1723.8099476499967,0.0,258.2,260.8601,261.49,262.44,264.0,260.74,261.5,0.002914781007900556
16642,1479,1829.26527545,0.0,259.99014,263.0,263.55006000000003,264.1899,264.999,261.49,263.8,0.008833989827526874
16643,2670,4062.854802330009,0.0,255.55,259.0,259.78,263.55647500000003,266.0,263.8,263.86481000000003,0.00024567854435186755
16644,2054,2754.2718487699967,0.0,263.8,265.1342,265.7,266.1883,267.37282000000005,264.06235,265.54415,0.005611553483486083
16645,2463,3781.421510929994,0.0,260.27202,262.0,262.8,263.33,266.78493,265.84323,263.00792,-0.010665345888251479
16646,2234,3939.039637549995,0.0,260.35,262.04073500000004,262.85854,263.37,264.25,262.44791000000004,263.70306,0.004782472834323419
16647,2693,4631.512503790035,0.0,258.0,259.29,259.8899,260.45,264.72497999999996,263.32204,259.0,-0.01641351403779196
16648,2622,2232.3541227899336,0.0,255.0,256.00001000000003,256.999995,257.7899975,259.9,259.25,257.12,-0.008216007714561217
16649,1801,2102.489542549998,0.0,252.61007999999998,255.0,255.9,257.0,258.69,257.12,258.3067,0.004615354698195292
16650,2953,3278.533602749988,0.0,256.1026,259.5,260.4189,261.0293,263.0,258.16,258.05,-0.0004260923458320949
16651,2847,3203.8796089899906,0.0,257.91,259.971,260.8108,262.0,263.0,258.09,262.278,0.016226897593862782
16652,2617,2513.5878532399925,0.0,259.11,260.23,260.9,261.3,263.25678999999997,262.2696,259.3855,-0.010996699579364309
16653,2959,3107.0835127899877,0.0,255.21,256.1405,257.0,258.0538,259.49,259.371,255.43271000000001,-0.015184002837634103
16654,3085,4499.798922990004,0.0,253.63894,256.0,256.7,257.4102,258.91,256.49,256.7,0.0008187453701897911
16655,4270,4661.141102860102,0.0,238.76,246.0,247.37995,251.0,257.03014,256.7,240.0,-0.06505648617062715
