candle_24h,nb,V,V_EUR,Pmin,PQ1,Pmed,PQ3,Pmax,P_open,P_close,return
16820,787,117493.82551369006,168404.88649347052,1.25002,1.366675,1.42413,1.45,1.56,1.27065,1.39,0.09392830441112804
16821,770,48565.60646053999,68165.51931891097,1.35999,1.39,1.4,1.41049,1.46,1.39,1.425,0.025179856115108017
16822,566,39901.14198831,56082.35138489251,1.361,1.391,1.402025,1.411,1.45989,1.45,1.39099,-0.040696551724137935
16823,2573,223189.09135177048,375002.4053089939,1.39998,1.6,1.69,1.761,1.88004,1.39998,1.8246,0.3033043329190417
16824,3701,231748.0992176101,458099.07979441725,1.54924,1.9275,1.99,2.03,2.2,1.82,1.999,0.09835164835164838
16825,3516,216408.00698750926,492015.0177208396,1.87001,2.190975,2.279995,2.3488,2.48496,1.99897,2.33029,0.16574535885981295
16826,3398,184507.4215101601,457264.83906599187,2.15,2.4287,2.4898,2.55141,2.63635,2.3303,2.15,-0.07737201218727201
16827,2186,85694.84992027997,190318.7298929318,2.04,2.1900775,2.246425,2.3,2.47,2.16821,2.2,0.014661863933844037
16828,1578,52477.15079769999,122691.86683475037,2.15711,2.273,2.33633,2.37,2.46,2.2,2.32322,0.056009090909090856
16829,1637,66898.37434392005,153160.40725426175,2.1534,2.24,2.3001,2.3587,2.4,2.32322,2.29957,-0.0101798366060898
16830,1162,46244.17676867002,107634.44734216119,2.24,2.30001,2.321765,2.3599900000000003,2.39798,2.315,2.2501,-0.028034557235421045
16831,1887,120941.7525147299,257678.0681510422,2.01,2.09097,2.1399,2.19943,2.34,2.2501,2.15973,-0.04016265943735836
16832,2059,100730.34693472972,203492.3716286172,1.95,1.98993,2.0101,2.04142,2.15115,2.15115,2.01759,-0.062087720521581326
16833,1301,64751.186498090006,137229.60224223547,1.9601,2.004,2.08023,2.2,2.274,2.0139,2.23,0.10730423556283823
16834,1377,67920.81684734997,152850.0185115701,2.12601,2.21,2.25317,2.2726,2.31518,2.2127,2.29966,0.03930040222352778
16835,964,41494.95302472998,94536.24435636066,2.2,2.235,2.2954,2.31515,2.37,2.29,2.2970200000000003,0.003065502183406222
16836,826,40763.61307210005,91968.93052015813,2.215,2.2374275000000003,2.25697,2.2691625,2.358,2.30041,2.27117,-0.012710777643985078
16837,426,12788.712624629989,28640.730052051465,2.22,2.22713,2.23566,2.25674,2.2841400000000003,2.26009,2.27,0.004384781137034404
16838,2574,145353.3190385103,363503.5680341661,2.24916,2.372,2.4978,2.64,2.7,2.27,2.6508,0.16775330396475766
16839,3286,215060.57859733046,597327.6247057228,2.59,2.71537,2.76593,2.83,2.94,2.65041,2.8305,0.06794797786002915
16840,4448,341422.79194343963,1081422.8365028938,2.82012,2.9900075,3.215005,3.2779,3.59999,2.83038,3.59999,0.2719104855178457
16841,6648,404199.39173753,1550190.4393778553,3.2139900000000003,3.6802975,3.80548,4.0,4.32,3.59,3.93714,0.09669637883008356
16842,5519,291090.0613714806,1328316.5920452,3.79003,4.1,4.5,4.81,5.2,3.93714,5.13499,0.3042436895817777
16843,7084,319526.6492889691,1606409.8231033708,4.3000099999999986,4.8935275,5.050255,5.2,5.68,5.10006,4.8743300000000005,-0.04426026360474181
16844,7445,326594.1975098491,1384286.9995464822,3.51101,4.04366,4.25999,4.51,5.05,4.89344,4.75575,-0.028137670023541738
16845,3383,96674.44732441996,421877.46317711397,3.95,4.21873,4.34173,4.533340000000001,4.87,4.75575,4.634,-0.025600588760973472
16846,4693,125753.67076664035,607888.3113037738,4.4526,4.7,4.8101,4.96685,5.2,4.66079,4.72011,0.012727456075042984
16847,5750,187490.69796269925,775933.1013910214,3.55,3.9132325,4.2011949999999985,4.38,4.85,4.74716,3.85,-0.18898878487348225
16848,5331,174737.38308416953,618517.9421621924,3.11501,3.40152,3.52701,3.69469,4.28246,3.85,3.3901800000000004,-0.11943376623376616
16849,5780,187853.35345752988,705826.7679728844,3.07,3.6,3.80206,3.91474,4.203,3.37088,3.96093,0.17504331213214344
16850,2571,72083.38097850003,293122.041335458,3.8,3.9702,4.07382,4.14133,4.294969999999998,3.95989,4.24,0.07073681339633174
16851,2623,70092.94161827999,274742.6631275091,3.7005,3.8184,3.92754,4.00071,4.25,4.23,3.92443,-0.07223877068557928
16852,2221,62032.78312278992,251295.88756626038,3.8,3.96046,4.01492,4.08082,4.2,3.90702,4.1599900000000005,0.06474755696157182
16853,5505,168146.35095409967,776419.7943400831,4.05011,4.31884,4.6,4.71635,5.14,4.1599900000000005,5.06,0.2163490777622059
16854,4029,130929.35941586019,673032.4930441036,4.839930000000002,5.06843,5.13566,5.21,5.3,5.06,5.06229,0.000452569169960543
16855,2579,86236.75426794989,464457.3176221548,5.0,5.142075,5.46928,5.57,5.669,5.06237,5.6322800000000015,0.1125777056991097
16856,4175,159518.18161814954,892470.9865659709,4.9,5.37,5.62213,5.867135,6.0,5.6322800000000015,5.50122,-0.02326943972955916
16857,2758,103696.14460174981,561088.6742604454,5.1658,5.3481,5.42715,5.5,5.669,5.50091,5.4,-0.018344237589780567
16858,1745,64592.30555714999,371215.109063829,5.41,5.65034,5.752000000000002,5.84231,5.98,5.42,5.75595,0.061983394833948414
16859,1846,56517.64330360008,331894.87523283827,5.61001,5.8053,5.88616,5.89901,5.9506,5.80006,5.81144,0.001962048668462041
